text,label
Need a replacement for my headset I tried restarting but no luck.,Hardware
Reset 2FA settings It was working yesterday.,Access
Clarification on last month's charge,Billing
Keyboard keys are stuck I tried restarting but no luck.,Hardware
Need access to the marketing folder,Access
Need to update credit card information Please help.,Billing
Error 403 trying to access dashboard Urgent!!,Access
Upgrade subscription plan cost Thanks.,Billing
Billing address needs to be changed Please help.,Billing
Keyboard keys are stuck Urgent!!,Hardware
Webcam failed during meeting It was working yesterday.,Hardware
Need to update credit card information It was working yesterday.,Billing
Unable to connect to Wi-Fi It was working yesterday.,Access
Upgrade subscription plan cost Please help.,Billing
Clarification on last month's charge I tried restarting but no luck.,Billing
Permission denied for Jira Urgent!!,Access
Account locked out Urgent!!,Access
Cannot log in to VPN Urgent!!,Access
Billing address needs to be changed Thanks.,Billing
Screen went black suddenly I tried restarting but no luck.,Hardware
Keyboard keys are stuck It was working yesterday.,Hardware
Printer says paper jam but it's empty Thanks.,Hardware
Need a replacement for my headset Urgent!!,Hardware
Need to update credit card information It was working yesterday.,Billing
Invoice #12345 is incorrect It was working yesterday.,Billing
New employee account setup I tried restarting but no luck.,Access
Billing address needs to be changed Please help.,Billing
Computer making a loud noise I tried restarting but no luck.,Hardware
Why was I charged twice? Please help.,Billing
Billing address needs to be changed Urgent!!,Billing
Error 403 trying to access dashboard Thanks.,Access
Need to update credit card information Urgent!!,Billing
Why was I charged twice? Thanks.,Billing
Monitor is flickering Please help.,Hardware
Invoice #12345 is incorrect Please help.,Billing
Unable to connect to Wi-Fi It was working yesterday.,Access
SSO login is looping,Access
Printer says paper jam but it's empty Please help.,Hardware
Webcam failed during meeting,Hardware
Upgrade subscription plan cost Thanks.,Billing
Account locked out It was working yesterday.,Access
Permission denied for Jira Thanks.,Access
Error 403 trying to access dashboard,Access
Computer making a loud noise,Hardware
My laptop is not turning on,Hardware
Refund request for order #987 Please help.,Billing
Account locked out Please help.,Access
Why was I charged twice? Please help.,Billing
Reset 2FA settings,Access
Receipt for expense report Thanks.,Billing
Error 403 trying to access dashboard Urgent!!,Access
SSO login is looping,Access
Need to update credit card information,Billing
Need to update credit card information Thanks.,Billing
